20130405 | Ai              | Yan         | yaPass_01 | yan.ai@umontreal.ca                 | public | 1
20301082 | Omar            | Rayan       | roPass_02 | ryan.omar@umontreal.ca              | public | 1
20140721 | Dragomirescu    | Sebastien   | sdPass_03 | sebastien.dragomirescu@umontreal.ca | staff  | 1
20077610 | Dufour-Grégoire | Alexis      | adPass_04 | alexis.dufour.gregoire@umontreal.ca | public | 1
20135630 | El-Hamaoui      | Christian   | cePass_05 | christian.el.hamaoui@umontreal.ca   | public | 1
20088891 | Fortin          | Laurence    | lfPass_06 | laurence.fortin@umontreal.ca        | public | 0
20098397 | Fournier        | Yannick     | yfPass_07 | yannick.fournier@umontreal.ca       | public | 1
20120455 | Fréchet         | Gabriel     | gfPass_08 | gabriel.frechet@umontreal.ca        | public | 1
20105623 | Gauthier        | Charlie     | cgPass_09 | charlie.gauthier@umontreal.ca       | staff  | 1
20119453 | Grondin         | Jessy       | jgPass_10 | jessy.grondin@umontreal.ca          | public | 0
20131692 | Hammami         | Hela        | hhPass_11 | hela.hammami@umontreal.ca           | staff  | 1
929540   | Harvey          | Danick      | dhPass_12 | danick.harvey@umontreal.ca          | public | 1
20236100 | Destine         | John Woodly | jdPass_13 | john.woodly.destine@umontreal.ca    | public | 1
20230414 | Diabate         | Papa Moussa | pdPass_14 | papa.moussa.diabate@umontreal.ca    | public | 0
20245515 | Diallo          | Hanifa      | hdPass_15 | hanifa.diallo@umontreal.ca          | public | 1
20259975 | Djuidjé         | Christelle  | cdPass_16 | christelle.djuidje@umontreal.ca     | public | 1
20031977 | Dubé            | Patrick     | pdPass_17 | patrick.dube@umontreal.ca           | public | 1
20238163 | Duong           | Christina   | cdPass_18 | christina.duong@umontreal.ca        | public | 1
20199233 | El Assaad       | Amin        | aePass_19 | amin.el.assaad@umontreal.ca         | public | 1
20236657 | Evrard          | Justin      | jePass_20 | justin.evrard@umontreal.ca          | public | 1
20261252 | Farmer          | Maude       | mfPass_21 | maude.farmer@umontreal.ca           | staff  | 1
20159818 | Ferhani         | Elias       | efPass_22 | elias.ferhani@umontreal.ca          | public | 1
20216556 | Frimu           | Madalina    | mfPass_23 | madalina.frimu@umontreal.ca         | public | 1
20117718 | Lemyre          | Gabriel     | glPass_24 | gabriel.lemyre@umontreal.ca         | public | 0
20209230 | Noel            | Ryan        | rnPass_25 | ryan.noel@umontreal.ca              | public | 0
1052138  | Perron          | Mathieu     | mpPass_26 | mathieu.perron@umontreal.ca         | staff  | 1
20293701 | Racine          | Dominique   | drPass_27 | dominique.racine@umontreal.ca       | public | 1
20250760 | Turquois        | Alex        | atPass_28 | alex.turquois@umontreal.ca          | public | 1
20250710 | Kibboua         | Amélie      | akPass_29 | amelie.kibboua@umontreal.ca         | staff  | 1
20250710 | Lucien          | Raymond     | rlPass_30 | raymond.lucien@umontreal.ca         | admin  | 1
